************************************************
*    Row   * eventId.e * SmallDete * BigDetect *
*      205 *       205 * 1.8701674 *         0 *
*      206 *       206 * 4.3301308 *         0 *
*      207 *       207 * 10.406195 *         0 *
*      208 *       208 * 6.1682604 *         0 *
*      209 *       209 *         0 * 3.7301396 *
*      210 *       210 * 0.0309288 * 4.8965457 *
*      211 *       211 * 4.8372192 * 1.1128871 *
*      212 *       212 * 5.7901088 *         0 *
*      213 *       213 *         0 * 8.3000712 *
*      214 *       214 *         0 *         0 *
*      215 *       215 * 4.5601274 *         0 *
*      216 *       216 *         0 *         0 *
*      217 *       217 * 7.4200844 *         0 *
*      218 *       218 * 3.3001462 *         0 *
*      219 *       219 * 2.0801643 *         0 *
*      220 *       220 * 7.9058594 *         0 *
*      221 *       221 * 11.000031 *         0 *
*      222 *       222 * 6.0301054 *         0 *
*      223 *       223 * 3.4267140 * 2.7275576 *
*      224 *       224 * 2.1494756 * 7.4805761 *
*      225 *       225 *         0 * 7.5000835 *
*      226 *       226 * 4.0701347 *         0 *
*      227 *       227 * 4.2674467 *         0 *
*      228 *       228 *         0 * 5.2101176 *
*      229 *       229 * 4.3067709 * 0.8570800 *
*      230 *       230 * 7.5900820 *         0 *
*      231 *       231 * 7.9811145 *         0 *
*      232 *       232 *         0 * 6.9400918 *
*      233 *       233 *  4.720125 *         0 *
*      234 *       234 * 4.8222031 *         0 *
*      235 *       235 *         0 *         0 *
*      236 *       236 * 5.8201084 *         0 *
*      237 *       237 * 2.4301591 *         0 *
*      238 *       238 * 4.3001313 *         0 *
*      239 *       239 *         0 *         0 *
*      240 *       240 *         0 * 9.7931538 *
*      241 *       241 * 4.0001357 *         0 *
*      242 *       242 *         0 *         0 *
*      243 *       243 *         0 * 3.9047586 *
*      244 *       244 * 0.7367985 *         0 *
*      245 *       245 *         0 * 6.5100981 *
*      246 *       246 *         0 * 6.1001044 *
*      247 *       247 *         0 * 8.4958155 *
*      248 *       248 * 7.6600810 *         0 *
*      249 *       249 * 4.4901284 *         0 *
*      250 *       250 * 0.0285295 *         0 *
*      251 *       251 * 7.7789980 *         0 *
*      252 *       252 * 11.430025 *         0 *
*      253 *       253 * 6.6996640 *         0 *
*      254 *       254 * 2.7501543 *         0 *
*      255 *       255 *         0 * 6.2701020 *
*      256 *       256 * 6.1701035 *         0 *
*      257 *       257 * 1.9301666 *         0 *
*      258 *       258 * 6.0601049 *         0 *
*      259 *       259 *         0 * 7.9300771 *
*      260 *       260 * 8.8900625 *         0 *
*      261 *       261 * 1.1962939 * 8.5637558 *
*      262 *       262 *         0 *         0 *
*      263 *       263 *         0 * 3.3001462 *
*      264 *       264 * 4.0001357 *         0 *
*      265 *       265 * 7.3041189 *         0 *
*      266 *       266 * 5.0101206 *         0 *
*      267 *       267 * 6.7100952 *         0 *
*      268 *       268 * 9.6260404 *         0 *
*      269 *       269 * 3.9326941 * 1.3874221 *
*      270 *       270 * 3.0601496 *         0 *
*      271 *       271 *         0 * 5.1201191 *
